source_address	source_port	dest_address	dest_port	delay
1.0.0.2	49153	7.0.0.2	1234	0.004000
1.0.0.2	49153	7.0.0.2	1234	0.006000
1.0.0.2	49153	7.0.0.2	1234	0.007000
1.0.0.2	49153	7.0.0.2	1234	0.009000
1.0.0.2	49153	7.0.0.2	1234	0.011000
1.0.0.2	49153	7.0.0.2	1234	0.012000
1.0.0.2	49153	7.0.0.2	1234	0.013000
1.0.0.2	49153	7.0.0.2	1234	0.014000
1.0.0.2	49153	7.0.0.2	1234	0.016000
1.0.0.2	49153	7.0.0.2	1234	0.018000
1.0.0.2	49153	7.0.0.2	1234	0.020000
1.0.0.2	49153	7.0.0.2	1234	0.022000
1.0.0.2	49153	7.0.0.2	1234	0.023000
1.0.0.2	49153	7.0.0.2	1234	0.025000
1.0.0.2	49153	7.0.0.2	1234	0.027000
1.0.0.2	49153	7.0.0.2	1234	0.031000
1.0.0.2	49153	7.0.0.2	1234	0.033000
1.0.0.2	49153	7.0.0.2	1234	0.034000
1.0.0.2	49153	7.0.0.2	1234	0.036000
1.0.0.2	49153	7.0.0.2	1234	0.038000
1.0.0.2	49153	7.0.0.2	1234	0.040000
1.0.0.2	49153	7.0.0.2	1234	0.042000
1.0.0.2	49153	7.0.0.2	1234	0.044000
1.0.0.2	49153	7.0.0.2	1234	0.047000
1.0.0.2	49153	7.0.0.2	1234	0.049000
1.0.0.2	49153	7.0.0.2	1234	0.051000
1.0.0.2	49153	7.0.0.2	1234	0.053000
1.0.0.2	49153	7.0.0.2	1234	0.055000
1.0.0.2	49153	7.0.0.2	1234	0.057000
1.0.0.2	49153	7.0.0.2	1234	0.059000
1.0.0.2	49153	7.0.0.2	1234	0.061000
1.0.0.2	49153	7.0.0.2	1234	0.063000
1.0.0.2	49153	7.0.0.2	1234	0.066000
1.0.0.2	49153	7.0.0.2	1234	0.068000
1.0.0.2	49153	7.0.0.2	1234	0.070000
1.0.0.2	49153	7.0.0.2	1234	0.072000
1.0.0.2	49153	7.0.0.2	1234	0.073000
1.0.0.2	49153	7.0.0.2	1234	0.075000
1.0.0.2	49153	7.0.0.2	1234	0.077000
1.0.0.2	49153	7.0.0.2	1234	0.079000
1.0.0.2	49153	7.0.0.2	1234	0.083000
1.0.0.2	49153	7.0.0.2	1234	0.084000
