Time	CellId	RNTI	BWPId	SINR(dB)
1.7856e-05	2	0	0	21.6904
1.7856e-05	2	0	0	16.4375
1.7856e-05	2	0	0	37.0311
1.7856e-05	2	0	0	12.7205
1.7856e-05	2	0	0	0.735195
1.7856e-05	2	0	0	17.8224
1.7856e-05	2	0	0	12.6334
1.7856e-05	2	0	0	21.5051
1.7856e-05	2	0	0	38.6659
0.00501786	2	0	0	26.5228
0.00501786	2	0	0	21.3783
0.00501786	2	0	0	39.3901
0.00501786	2	0	0	13.9614
0.00501786	2	0	0	13.1488
0.00501786	2	0	0	4.57539
0.00501786	2	0	0	12.9753
0.00501786	2	0	0	23.9196
0.00501786	2	0	0	28.3572
0.0100179	2	0	0	25.787
0.0100179	2	0	0	20.8957
0.0100179	2	0	0	38.7249
0.0100179	2	0	0	14.0849
0.0100179	2	0	0	13.0232
0.0100179	2	0	0	5.03987
0.0100179	2	0	0	13.7528
0.0100179	2	0	0	23.8475
0.0100179	2	0	0	28.3572
0.0150179	2	0	0	25.5471
0.0150179	2	0	0	20.3088
0.0150179	2	0	0	38.2337
0.0150179	2	0	0	14.4243
0.0150179	2	0	0	12.797
0.0150179	2	0	0	5.45563
0.0150179	2	0	0	14.3376
0.0150179	2	0	0	24.4994
0.0150179	2	0	0	28.3572
0.0180179	2	0	0	25.7302
0.0180179	2	0	0	20.2318
0.0180179	2	0	0	38.0762
0.0180179	2	0	0	14.6062
0.0180179	2	0	0	12.3107
0.0180179	2	0	0	5.61745
0.0180179	2	0	0	14.6684
0.0180179	2	0	0	25.2881
0.0180179	2	0	0	28.3572
0.0200179	2	6	0	25.7937
0.0200179	2	5	0	20.1093
0.0200179	2	4	0	38.0532
0.0200179	2	9	0	14.4849
0.0200179	2	8	0	12.4382
0.0200179	2	7	0	5.82205
0.0200179	2	2	0	14.926
0.0200179	2	1	0	25.5326
0.0200179	2	3	0	28.3572
0.0250179	2	6	0	26.4756
0.0250179	2	5	0	19.4786
0.0250179	2	4	0	38.615
0.0250179	2	9	0	14.4618
0.0250179	2	8	0	12.3888
0.0250179	2	7	0	6.09659
0.0250179	2	2	0	14.9454
0.0250179	2	1	0	25.7871
0.0250179	2	3	0	28.3572
0.0260179	2	6	0	26.4965
0.0260179	2	5	0	19.4905
0.0260179	2	4	0	38.4838
0.0260179	2	9	0	14.8411
0.0260179	2	8	0	12.2733
0.0260179	2	7	0	6.12138
0.0260179	2	2	0	14.98
0.0260179	2	1	0	25.6888
0.0260179	2	3	0	28.3572
0.0300179	2	6	0	27.2844
0.0300179	2	5	0	19.3926
0.0300179	2	4	0	38.6035
0.0300179	2	9	0	14.9364
0.0300179	2	8	0	11.6612
0.0300179	2	7	0	6.07928
0.0300179	2	2	0	14.2052
0.0300179	2	1	0	25.6706
0.0300179	2	3	0	28.3572
0.0350179	2	6	0	27.8941
0.0350179	2	5	0	19.6959
0.0350179	2	4	0	38.6943
0.0350179	2	9	0	15.1454
0.0350179	2	8	0	11.6711
0.0350179	2	7	0	5.90605
0.0350179	2	2	0	12.9018
0.0350179	2	1	0	25.5342
0.0350179	2	3	0	28.3572
0.0385179	2	6	0	28.4169
0.0385179	2	5	0	19.5809
0.0385179	2	4	0	38.6666
0.0385179	2	9	0	14.9786
0.0385179	2	8	0	11.9133
0.0385179	2	7	0	6.16613
0.0385179	2	2	0	11.3406
0.0385179	2	1	0	25.0872
0.0385179	2	3	0	28.3572
0.0400179	2	6	0	28.7139
0.0400179	2	5	0	19.617
0.0400179	2	4	0	38.5752
0.0400179	2	9	0	14.8298
0.0400179	2	8	0	11.8451
0.0400179	2	7	0	6.15203
0.0400179	2	2	0	10.8725
0.0400179	2	1	0	24.9473
0.0400179	2	3	0	28.3572
0.0410179	2	6	0	28.7068
0.0410179	2	5	0	19.771
0.0410179	2	4	0	38.5853
0.0410179	2	9	0	14.7869
0.0410179	2	8	0	11.8209
0.0410179	2	7	0	6.05242
0.0410179	2	2	0	10.531
0.0410179	2	1	0	24.7504
0.0410179	2	3	0	28.3572
0.0432679	2	6	0	28.9799
0.0432679	2	5	0	20.0069
0.0432679	2	4	0	38.6319
0.0432679	2	9	0	14.828
0.0432679	2	8	0	11.9334
0.0432679	2	7	0	5.68277
0.0432679	2	2	0	9.69389
0.0432679	2	1	0	24.4845
0.0432679	2	3	0	28.3572
0.0435179	2	6	0	29.0912
0.0435179	2	5	0	19.9342
0.0435179	2	4	0	38.5529
0.0435179	2	9	0	14.8194
0.0435179	2	8	0	11.9634
0.0435179	2	7	0	5.77877
0.0435179	2	2	0	9.62556
0.0435179	2	1	0	24.4384
0.0435179	2	3	0	28.3572
0.0450179	2	6	0	29.3073
0.0450179	2	5	0	19.9565
0.0450179	2	4	0	38.6686
0.0450179	2	9	0	15.1422
0.0450179	2	8	0	11.7499
0.0450179	2	7	0	5.79884
0.0450179	2	2	0	9.05402
0.0450179	2	1	0	24.3309
0.0450179	2	3	0	28.3572
0.0460179	2	6	0	29.3716
0.0460179	2	5	0	19.9738
0.0460179	2	4	0	38.6989
0.0460179	2	9	0	15.1359
0.0460179	2	8	0	11.6497
0.0460179	2	7	0	5.9351
0.0460179	2	2	0	8.96943
0.0460179	2	1	0	24.2785
0.0460179	2	3	0	28.3572
0.0485179	2	6	0	29.7005
0.0485179	2	5	0	20.0867
0.0485179	2	4	0	38.4666
0.0485179	2	9	0	14.8406
0.0485179	2	8	0	11.6514
0.0485179	2	7	0	5.89225
0.0485179	2	2	0	8.8854
0.0485179	2	1	0	24.1751
0.0485179	2	3	0	28.3572
0.0500179	2	6	0	29.706
0.0500179	2	5	0	19.9092
0.0500179	2	4	0	38.4598
0.0500179	2	9	0	14.597
0.0500179	2	8	0	11.6387
0.0500179	2	7	0	5.76416
0.0500179	2	2	0	9.05465
0.0500179	2	1	0	24.1783
0.0500179	2	3	0	28.3572
0.0510179	2	6	0	29.8606
0.0510179	2	5	0	19.9455
0.0510179	2	4	0	38.4185
0.0510179	2	9	0	14.7129
0.0510179	2	8	0	11.6951
0.0510179	2	7	0	5.79861
0.0510179	2	2	0	9.17929
0.0510179	2	1	0	24.1426
0.0510179	2	3	0	28.3572
0.0550179	2	6	0	30.2335
0.0550179	2	5	0	20.2045
0.0550179	2	4	0	38.6364
0.0550179	2	9	0	14.6504
0.0550179	2	8	0	11.6421
0.0550179	2	7	0	6.46822
0.0550179	2	2	0	10.567
0.0550179	2	1	0	24.3251
0.0550179	2	3	0	28.3572
0.0600179	2	6	0	30.46
0.0600179	2	5	0	19.9716
0.0600179	2	4	0	39.2528
0.0600179	2	9	0	14.3554
0.0600179	2	8	0	11.908
0.0600179	2	7	0	6.8084
0.0600179	2	2	0	12.2462
0.0600179	2	1	0	24.8828
0.0600179	2	3	0	28.3572
0.0650179	2	6	0	30.1867
0.0650179	2	5	0	19.9672
0.0650179	2	4	0	38.9033
0.0650179	2	9	0	14.5656
0.0650179	2	8	0	11.5929
0.0650179	2	7	0	7.01368
0.0650179	2	2	0	13.662
0.0650179	2	1	0	25.1769
0.0650179	2	3	0	28.3572
0.0660179	2	6	0	30.164
0.0660179	2	5	0	20.0145
0.0660179	2	4	0	38.9593
0.0660179	2	9	0	14.7145
0.0660179	2	8	0	11.7935
0.0660179	2	7	0	7.06388
0.0660179	2	2	0	13.8522
0.0660179	2	1	0	25.1987
0.0660179	2	3	0	28.3572
0.0700179	2	6	0	30.1241
