Time	CellId	RNTI	BWPId	SINR(dB)
0.21025	2	4	0	56.5539
0.210286	2	4	0	56.5551
0.210536	2	4	0	56.6146
0.215286	2	4	0	56.8425
0.21825	2	6	0	45.1784
0.218286	2	6	0	45.1824
0.218536	2	6	0	45.3178
0.222536	2	4	0	56.6759
0.225036	2	6	0	45.5533
0.227536	2	4	0	56.7326
0.227786	2	4	0	56.7641
0.23025	2	7	0	17.1795
0.230286	2	7	0	17.0811
0.230536	2	7	0	17.0883
0.230554	2	6	0	46.0067
0.235232	2	8	0	21.4407
0.23525	2	4	0	56.8598
0.235304	2	8	0	21.4789
0.235536	2	8	0	21.4235
0.237571	2	7	0	16.8901
0.237589	2	6	0	45.6262
0.237607	2	4	0	57.1765
0.240286	2	4	0	57.2761
0.242536	2	8	0	21.7543
0.243036	2	6	0	45.7393
0.245054	2	7	0	16.9302
0.247554	2	4	0	57.1125
0.250054	2	6	0	45.8683
0.250286	2	8	0	21.9301
0.252786	2	4	0	56.9292
0.253054	2	7	0	18.2171
0.255536	2	6	0	45.7437
0.25775	2	5	0	37.5809
0.257786	2	5	0	37.526
0.258036	2	5	0	37.5192
0.258286	2	8	0	22.5843
0.260036	2	5	0	37.3007
0.260071	2	4	0	56.727
0.260286	2	5	0	37.2457
0.261036	2	7	0	19.5671
0.262554	2	6	0	45.3308
0.262571	2	4	0	56.7
0.262786	2	6	0	45.355
0.265286	2	4	0	56.6939
0.266036	2	5	0	38.0532
0.267536	2	8	0	21.7977
0.268036	2	6	0	45.4096
0.270036	2	7	0	21.4278
0.270054	2	5	0	37.8497
0.272536	2	6	0	45.3117
0.272554	2	5	0	37.8795
0.272589	2	4	0	56.8383
0.275036	2	8	0	21.8017
0.275071	2	6	0	45.1986
0.275089	2	4	0	56.8386
0.276	2	1	0	44.182
0.276036	2	1	0	44.1474
0.277536	2	7	0	22.4361
0.277554	2	1	0	44.1925
0.277786	2	4	0	56.7831
0.278536	2	5	0	38.4404
0.280536	2	6	0	44.8899
0.282536	2	8	0	22.3213
0.282571	2	5	0	38.5341
0.285036	2	7	0	23.3915
0.285054	2	6	0	45.3659
0.285071	2	5	0	38.3987
0.285107	2	4	0	56.4555
0.287554	2	6	0	45.681
0.287571	2	4	0	56.6116
0.288286	2	1	0	44.0581
0.290286	2	8	0	22.265
0.290304	2	4	0	56.5334
0.291036	2	5	0	38.4109
0.29275	2	8	0	24.4561
0.293036	2	7	0	23.658
0.293054	2	6	0	46.1082
0.295054	2	5	0	38.3856
0.29775	2	5	0	27.6489
0.297786	2	6	0	46.6015
0.297804	2	5	0	37.9423
0.297839	2	4	0	56.2729
0.298286	2	8	0	22.3158
0.30025	2	8	0	23.1829
0.300286	2	6	0	46.3831
0.300304	2	4	0	56.031
0.3005	2	2	0	37.9492
0.300571	2	2	0	37.9765
0.300786	2	2	0	37.9686
0.300804	2	1	0	44.0864
0.301036	2	7	0	23.2637
0.302536	2	6	0	46.3564
0.302732	2	3	0	39.945
0.302786	2	4	0	56.0677
0.302839	2	3	0	39.945
0.303036	2	3	0	39.945
0.303536	2	5	0	38.0013
0.305536	2	6	0	46.2051
0.307536	2	8	0	22.0657
0.307571	2	5	0	38.3153
0.30875	2	9	0	21.2601
0.31025	2	8	0	20.6572
0.310286	2	9	0	21.0501
0.310304	2	7	0	22.6812
0.310321	2	6	0	46.2181
0.310339	2	5	0	38.3146
0.310357	2	4	0	55.828
0.31275	2	7	0	23.5243
0.312786	2	6	0	46.22
0.312821	2	4	0	56.0672
0.312839	2	2	0	38.4785
0.313286	2	1	0	43.9898
0.315036	2	8	0	22.4328
0.315054	2	6	0	46.4463
0.315071	2	3	0	39.945
0.315286	2	4	0	56.2581
0.316036	2	5	0	38.1074
0.31775	2	8	0	19.9014
0.317786	2	9	0	21.1632
0.317804	2	7	0	22.6335
0.318036	2	6	0	46.3685
0.32025	2	7	0	22.9406
0.320304	2	5	0	38.4091
0.322536	2	8	0	22.5035
0.322571	2	6	0	45.9615
0.322589	2	5	0	38.3539
0.322625	2	4	0	56.7973
0.32525	2	8	0	20.7785
0.325286	2	9	0	20.6698
0.325304	2	7	0	22.6966
0.325321	2	6	0	45.7527
0.325339	2	4	0	56.8243
0.325357	2	2	0	38.1649
0.325786	2	1	0	43.9207
0.32775	2	7	0	22.943
0.327786	2	4	0	56.7643
0.327804	2	3	0	39.945
0.328536	2	5	0	38.6906
0.33025	2	5	0	25.1809
0.330286	2	8	0	22.5227
0.330536	2	6	0	45.722
0.33275	2	8	0	22.5193
0.332786	2	9	0	20.5712
0.332804	2	5	0	38.8624
0.333036	2	7	0	23.0809
0.33525	2	7	0	23.7265
0.335304	2	5	0	39.0247
0.335339	2	4	0	57.0282
0.337554	2	6	0	45.7778
0.337571	2	4	0	57.0704
0.337786	2	6	0	45.8143
0.337804	2	2	0	37.801
0.338286	2	8	0	23.0522
0.338304	2	1	0	43.5042
0.34025	2	8	0	24.0948
0.340286	2	4	0	57.2637
0.340304	2	3	0	39.945
0.340536	2	9	0	20.1917
0.341036	2	7	0	22.9635
0.341054	2	5	0	39.3211
0.34275	2	7	0	24.0407
0.343036	2	6	0	46.0327
0.345054	2	5	0	39.8578
0.347536	2	8	0	22.9576
0.347554	2	6	0	46.2895
0.347571	2	5	0	40.0267
0.347607	2	4	0	57.7128
0.348536	2	9	0	20.6738
0.35025	2	8	0	24.6599
0.350286	2	7	0	22.8222
0.350321	2	6	0	46.1169
0.350339	2	4	0	57.6975
0.350357	2	2	0	36.0938
0.350786	2	1	0	42.9714
0.35275	2	7	0	23.9073
0.352786	2	4	0	57.3888
0.352804	2	3	0	39.945
0.353536	2	5	0	40.0879
0.355036	2	8	0	22.5864
0.355054	2	5	0	40.2754
0.355536	2	6	0	45.6745
0.35775	2	8	0	25.1838
0.357786	2	9	0	21.5949
0.357804	2	7	0	22.4899
0.357821	2	5	0	40.2765
0.36025	2	7	0	23.0604
0.360286	2	6	0	45.4135
0.360304	2	5	0	40.1702
0.360339	2	4	0	57.6503
0.362536	2	8	0	22.6229
