Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	4	-115.319
0	1	0	5	-108.768
0	1	0	6	-93.6317
0	1	0	1	-125.851
0	1	0	2	-137.958
0	1	0	3	-115.135
0	1	0	8	-114.236
0	1	0	9	-105.128
0	1	0	7	-93.571
0.005	1	0	4	-107.042
0.005	1	0	5	-113.356
0.005	1	0	6	-90.1038
0.005	1	0	1	-127.527
0.005	1	0	2	-126.286
0.005	1	0	3	-129.364
0.005	1	0	8	-111.655
0.005	1	0	9	-104.183
0.005	1	0	7	-105.172
0.01	1	0	4	-106.918
0.01	1	0	5	-113.75
0.01	1	0	6	-90.4052
0.01	1	0	1	-127.492
0.01	1	0	2	-126.496
0.01	1	0	3	-129.458
0.01	1	0	8	-111.27
0.01	1	0	9	-104.347
0.01	1	0	7	-105.172
0.015	1	0	4	-106.484
0.015	1	0	5	-114.268
0.015	1	0	6	-90.8448
0.015	1	0	1	-127.234
0.015	1	0	2	-126.741
0.015	1	0	3	-129.559
0.015	1	0	8	-111.42
0.015	1	0	9	-104.53
0.015	1	0	7	-105.172
0.018	1	0	4	-106.103
0.018	1	0	5	-114.313
0.018	1	0	6	-91.0925
0.018	1	0	1	-127.097
0.018	1	0	2	-127.21
0.018	1	0	3	-129.648
0.018	1	0	8	-111.456
0.018	1	0	9	-104.297
0.018	1	0	7	-105.172
0.02	1	0	4	-106.021
0.02	1	0	5	-114.419
0.02	1	0	6	-91.1989
0.02	1	0	1	-127.247
0.02	1	0	2	-127.061
0.02	1	0	3	-129.577
0.02	1	0	8	-111.365
0.02	1	0	9	-104.37
0.02	1	0	7	-105.172
0.025	1	0	4	-105.678
0.025	1	0	5	-115.024
0.025	1	0	6	-90.8281
0.025	1	0	1	-127.338
0.025	1	0	2	-127.035
0.025	1	0	3	-129.517
0.025	1	0	8	-111.41
0.025	1	0	9	-104.597
0.025	1	0	7	-105.172
0.026	1	0	4	-105.78
0.026	1	0	5	-115.009
0.026	1	0	6	-90.9842
0.026	1	0	1	-126.972
0.026	1	0	2	-127.133
0.026	1	0	3	-129.515
0.026	1	0	8	-111.32
0.026	1	0	9	-104.731
0.026	1	0	7	-105.172
