% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.2095	1	0	6	4	21	0	0	1	13	15	1	0	0	224
0.20975	1	0	6	4	21	0	1	1	1	14	1	0	0	14
0.21	1	0	6	4	21	0	2	1	1	13	1	0	0	14
0.21025	1	0	6	4	21	0	3	1	1	12	1	0	0	14
0.2105	1	0	6	4	21	1	0	1	1	11	1	0	0	14
0.212	1	0	6	4	21	2	2	1	1	15	1	0	28	403
0.21475	1	0	6	4	21	5	1	1	1	14	1	0	28	403
0.2175	1	0	4	6	21	8	0	1	13	15	1	0	0	224
0.21775	1	0	4	6	21	8	1	1	1	14	1	0	0	14
0.218	1	0	4	6	21	8	2	1	1	13	1	0	0	14
0.2195	1	0	4	6	22	0	0	1	1	15	1	0	28	403
0.222	1	0	6	4	22	2	2	1	1	15	1	0	28	403
0.2245	1	0	4	6	22	5	0	1	1	14	1	0	28	403
0.227	1	0	6	4	22	7	2	1	1	15	1	0	28	403
0.22725	1	0	6	4	22	7	3	1	1	14	1	0	28	403
0.2295	1	0	3	7	23	0	0	1	13	15	1	0	0	224
0.22975	1	0	3	7	23	0	1	1	1	14	1	0	0	14
0.23	1	0	3	7	23	0	2	1	1	13	1	0	0	14
0.23	1	0	4	6	23	0	2	2	1	15	1	0	28	403
0.23025	1	0	3	7	23	0	3	1	1	12	1	0	0	14
0.2305	1	0	3	7	23	1	0	1	1	11	1	0	0	14
0.232	1	0	3	7	23	2	2	1	1	15	1	0	15	171
0.2345	1	0	2	8	23	5	0	1	12	15	1	0	0	206
0.2345	1	0	6	4	23	5	0	13	1	15	1	0	28	403
0.23475	1	0	2	8	23	5	1	1	2	14	1	0	0	31
0.235	1	0	2	8	23	5	2	1	1	13	1	0	0	14
0.23525	1	0	2	8	23	5	3	1	1	12	1	0	0	14
0.2355	1	0	2	8	23	6	0	1	1	11	1	0	0	14
0.237	1	0	2	8	23	7	2	1	1	15	1	0	22	281
0.237	1	0	3	7	23	7	2	2	2	14	1	0	15	346
0.237	1	0	4	6	23	7	2	4	1	15	1	0	28	403
0.237	1	0	6	4	23	7	2	5	1	15	1	0	28	403
0.23975	1	0	6	4	24	0	1	1	1	15	1	0	28	403
0.242	1	0	2	8	24	2	2	1	1	14	1	0	22	281
0.2425	1	0	4	6	24	3	0	1	1	15	1	0	28	403
0.2445	1	0	3	7	24	5	0	1	2	15	1	0	18	399
0.247	1	0	6	4	24	7	2	1	2	15	1	0	28	810
0.2495	1	0	4	6	25	0	0	1	2	15	1	0	28	810
0.24975	1	0	2	8	25	0	1	1	1	15	1	0	24	324
0.25225	1	0	6	4	25	2	3	1	1	15	1	0	28	403
