% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.21275	1	0	8	2	21	3	3	11	2	15	1	0	0	31
0.21525	1	0	8	2	21	6	1	0	11	15	1	0	28	4461
0.21525	1	0	2	8	21	6	1	11	2	15	1	0	0	31
0.2155	1	0	8	2	21	6	2	0	13	14	1	0	28	5271
0.2155	1	0	8	2	21	6	3	0	13	13	1	0	28	5271
0.21775	1	0	8	2	21	8	3	0	6	15	1	0	28	2433
0.21775	1	0	3	7	21	8	3	6	2	15	1	0	0	31
0.21775	1	0	2	8	21	8	3	8	5	15	1	0	15	871
0.218	1	0	8	2	21	9	0	0	6	14	1	0	28	2433
0.218	1	0	2	8	21	9	0	6	7	14	1	0	15	1221
0.218	1	0	8	2	21	9	1	0	6	13	1	0	28	2433
0.218	1	0	2	8	21	9	1	6	7	13	1	0	15	1221
0.218	1	0	8	2	21	9	2	0	6	12	1	0	28	2433
0.218	1	0	2	8	21	9	2	6	7	12	1	0	15	1221
0.218	1	0	8	2	21	9	3	0	3	11	1	0	28	1216
0.218	1	0	2	8	21	9	3	3	10	11	1	0	15	1746
0.22025	1	0	8	2	22	1	1	0	4	15	1	0	28	1623
0.22025	1	0	3	7	22	1	1	4	4	15	1	0	5	212
0.22025	1	0	2	8	22	1	1	8	5	15	1	0	15	871
0.2205	1	0	8	2	22	1	2	0	4	14	1	0	28	1623
0.2205	1	0	3	7	22	1	2	4	4	14	1	0	5	212
0.2205	1	0	2	8	22	1	2	8	5	14	1	0	15	871
0.2205	1	0	8	2	22	1	3	0	4	13	1	0	28	1623
0.2205	1	0	3	7	22	1	3	4	4	13	1	0	5	212
0.2205	1	0	2	8	22	1	3	8	5	13	1	0	15	871
0.2205	1	0	8	2	22	2	0	0	4	12	1	0	28	1623
0.2205	1	0	3	7	22	2	0	4	4	12	1	0	5	212
0.2205	1	0	2	8	22	2	0	8	5	12	1	0	15	871
0.2205	1	0	8	2	22	2	1	0	4	11	1	0	28	1623
0.2205	1	0	3	7	22	2	1	4	4	11	1	0	5	212
0.2205	1	0	2	8	22	2	1	8	5	11	1	0	15	871
0.22275	1	0	8	2	22	3	3	0	4	15	1	0	28	1623
0.22275	1	0	4	6	22	3	3	4	2	15	1	0	0	31
0.22275	1	0	3	7	22	3	3	6	4	15	1	0	5	212
0.22275	1	0	2	8	22	3	3	10	3	15	1	0	15	521
0.223	1	0	8	2	22	4	0	0	4	14	1	0	28	1623
0.223	1	0	3	7	22	4	0	4	4	14	1	0	5	212
0.223	1	0	2	8	22	4	0	8	5	14	1	0	15	871
0.223	1	0	8	2	22	4	1	0	4	13	1	0	28	1623
0.223	1	0	3	7	22	4	1	4	4	13	1	0	5	212
0.223	1	0	2	8	22	4	1	8	5	13	1	0	15	871
0.223	1	0	8	2	22	4	2	0	4	12	1	0	28	1623
0.223	1	0	3	7	22	4	2	4	4	12	1	0	5	212
0.223	1	0	2	8	22	4	2	8	5	12	1	0	15	871
0.223	1	0	8	2	22	4	3	0	3	11	1	0	28	1216
0.223	1	0	3	7	22	4	3	3	5	11	1	0	5	266
0.223	1	0	2	8	22	4	3	8	5	11	1	0	15	871
0.22525	1	0	8	2	22	6	1	0	4	15	1	0	28	1623
0.22525	1	0	4	6	22	6	1	4	1	15	1	0	28	403
0.22525	1	0	3	7	22	6	1	5	4	15	1	0	5	212
0.22525	1	0	2	8	22	6	1	9	4	15	1	0	15	696
0.2255	1	0	8	2	22	6	2	0	4	14	1	0	28	1623
0.2255	1	0	3	7	22	6	2	4	4	14	1	0	5	212
0.2255	1	0	2	8	22	6	2	8	5	14	1	0	15	871
0.2255	1	0	8	2	22	6	3	0	4	13	1	0	28	1623
0.2255	1	0	3	7	22	6	3	4	4	13	1	0	5	212
0.2255	1	0	2	8	22	6	3	8	5	13	1	0	15	871
0.2255	1	0	8	2	22	7	0	0	4	12	1	0	28	1623
0.2255	1	0	3	7	22	7	0	4	4	12	1	0	5	212
0.2255	1	0	2	8	22	7	0	8	5	12	1	0	15	871
0.2255	1	0	8	2	22	7	1	0	4	11	1	0	28	1623
0.2255	1	0	3	7	22	7	1	4	4	11	1	0	5	212
0.2255	1	0	2	8	22	7	1	8	4	11	1	0	15	696
0.22775	1	0	8	2	22	8	3	0	4	15	1	0	28	1623
0.22775	1	0	3	7	22	8	3	4	4	15	1	0	5	212
0.22775	1	0	2	8	22	8	3	8	5	15	1	0	15	871
0.228	1	0	8	2	22	9	0	0	3	14	1	0	28	1216
0.228	1	0	3	7	22	9	0	3	5	14	1	0	5	266
0.228	1	0	2	8	22	9	0	8	5	14	1	0	15	871
