Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0165	ENB PHY Rxed	1	6	1	2	0	0	RACH_PREAMBLE
0.0165	ENB PHY Rxed	1	6	1	2	0	0	RACH_PREAMBLE
0.0165	ENB PHY Rxed	1	6	1	2	0	0	RACH_PREAMBLE
0.0165	ENB PHY Rxed	1	6	1	2	0	0	RACH_PREAMBLE
0.0165	ENB PHY Rxed	1	6	1	2	0	0	RACH_PREAMBLE
0.0165	ENB PHY Rxed	1	6	1	2	0	0	RACH_PREAMBLE
0.0165	ENB PHY Rxed	1	6	1	2	0	0	RACH_PREAMBLE
0.0165	ENB PHY Rxed	1	6	1	2	0	0	RACH_PREAMBLE
0.0165	ENB PHY Rxed	1	6	1	2	0	0	RACH_PREAMBLE
0.0274821	ENB PHY Rxed	2	7	1	2	0	0	SRS
0.0392321	ENB PHY Rxed	3	9	0	2	0	0	SRS
0.0417321	ENB PHY Rxed	4	1	2	2	0	0	SRS
0.0439821	ENB PHY Rxed	4	3	3	2	0	0	SRS
0.0449821	ENB PHY Rxed	4	4	3	2	0	0	SRS
0.0467321	ENB PHY Rxed	4	6	2	2	0	0	SRS
0.0472321	ENB PHY Rxed	4	7	0	2	0	0	SRS
0.0497321	ENB PHY Rxed	4	9	2	2	0	0	SRS
0.0522321	ENB PHY Rxed	5	2	0	2	0	0	SRS
0.0674821	ENB PHY Rxed	6	7	1	2	0	0	SRS
0.0792321	ENB PHY Rxed	7	9	0	2	0	0	SRS
0.0817321	ENB PHY Rxed	8	1	2	2	0	0	SRS
0.0839821	ENB PHY Rxed	8	3	3	2	0	0	SRS
0.0849821	ENB PHY Rxed	8	4	3	2	0	0	SRS
0.0867321	ENB PHY Rxed	8	6	2	2	0	0	SRS
0.0872321	ENB PHY Rxed	8	7	0	2	0	0	SRS
0.0897321	ENB PHY Rxed	8	9	2	2	0	0	SRS
0.0922321	ENB PHY Rxed	9	2	0	2	0	0	SRS
0.107482	ENB PHY Rxed	10	7	1	2	0	0	SRS
0.119232	ENB PHY Rxed	11	9	0	2	0	0	SRS
0.121732	ENB PHY Rxed	12	1	2	2	0	0	SRS
0.123982	ENB PHY Rxed	12	3	3	2	0	0	SRS
0.124982	ENB PHY Rxed	12	4	3	2	0	0	SRS
0.126732	ENB PHY Rxed	12	6	2	2	0	0	SRS
0.127232	ENB PHY Rxed	12	7	0	2	0	0	SRS
0.129732	ENB PHY Rxed	12	9	2	2	0	0	SRS
0.132232	ENB PHY Rxed	13	2	0	2	0	0	SRS
0.147482	ENB PHY Rxed	14	7	1	2	0	0	SRS
0.159232	ENB PHY Rxed	15	9	0	2	0	0	SRS
0.161732	ENB PHY Rxed	16	1	2	2	0	0	SRS
0.163982	ENB PHY Rxed	16	3	3	2	0	0	SRS
0.164982	ENB PHY Rxed	16	4	3	2	0	0	SRS
0.166732	ENB PHY Rxed	16	6	2	2	0	0	SRS
0.167232	ENB PHY Rxed	16	7	0	2	0	0	SRS
0.169732	ENB PHY Rxed	16	9	2	2	0	0	SRS
0.172232	ENB PHY Rxed	17	2	0	2	0	0	SRS
0.187482	ENB PHY Rxed	18	7	1	2	0	0	SRS
0.199232	ENB PHY Rxed	19	9	0	2	0	0	SRS
0.201732	ENB PHY Rxed	20	1	2	2	0	0	SRS
0.203982	ENB PHY Rxed	20	3	3	2	0	0	SRS
0.204982	ENB PHY Rxed	20	4	3	2	0	0	SRS
0.206732	ENB PHY Rxed	20	6	2	2	0	0	SRS
0.207232	ENB PHY Rxed	20	7	0	2	0	0	SRS
0.209732	ENB PHY Rxed	20	9	2	2	0	0	SRS
0.2115	ENB PHY Rxed	21	1	1	2	0	0	SR
0.2115	ENB PHY Rxed	21	1	1	2	4	0	DL_CQI
0.2115	ENB PHY Rxed	21	1	1	2	4	0	DL_CQI
0.2115	ENB PHY Rxed	21	1	1	2	4	0	DL_CQI
0.2115	ENB PHY Rxed	21	1	1	2	4	0	DL_HARQ
0.2115	ENB PHY Rxed	21	1	1	2	4	0	DL_HARQ
0.2115	ENB PHY Rxed	21	1	1	2	4	0	DL_HARQ
0.212232	ENB PHY Rxed	21	2	0	2	0	0	SRS
0.215	ENB PHY Rxed	21	4	3	2	0	0	SR
0.2165	ENB PHY Rxed	21	6	1	2	4	0	DL_CQI
0.2165	ENB PHY Rxed	21	6	1	2	4	0	DL_HARQ
0.2175	ENB PHY Rxed	21	7	1	2	0	0	SR
0.219	ENB PHY Rxed	21	8	3	2	6	0	DL_CQI
0.219	ENB PHY Rxed	21	8	3	2	6	0	DL_HARQ
0.219	ENB PHY Rxed	21	8	3	2	6	0	DL_HARQ
0.21925	ENB PHY Rxed	21	9	0	2	6	0	DL_CQI
0.21925	ENB PHY Rxed	21	9	0	2	6	0	DL_HARQ
0.2195	ENB PHY Rxed	21	9	1	2	6	0	DL_CQI
0.2215	ENB PHY Rxed	22	1	1	2	0	0	SR
0.224	ENB PHY Rxed	22	3	3	2	4	0	DL_CQI
0.224	ENB PHY Rxed	22	3	3	2	4	0	DL_HARQ
0.2265	ENB PHY Rxed	22	6	1	2	6	0	DL_CQI
0.2265	ENB PHY Rxed	22	6	1	2	6	0	DL_HARQ
