Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.210018	DL DCI Rxed	21	0	0	2	4	0	15	5
0.210268	DL DCI Rxed	21	0	1	2	4	0	14	4
0.210518	DL DCI Rxed	21	0	2	2	4	0	13	3
0.210768	DL DCI Rxed	21	0	3	2	4	0	12	2
0.211018	DL DCI Rxed	21	1	0	2	4	0	11	2
0.211482	HARQ FD Txed	21	1	1	2	4	0	15	5
0.211482	HARQ FD Txed	21	1	1	2	4	0	14	4
0.211482	HARQ FD Txed	21	1	1	2	4	0	13	3
0.212518	DL DCI Rxed	21	2	2	2	4	0	15	5
0.215268	DL DCI Rxed	21	5	1	2	4	0	14	4
0.216482	HARQ FD Txed	21	6	1	2	4	0	14	4
0.218018	DL DCI Rxed	21	8	0	2	6	0	15	3
0.218268	DL DCI Rxed	21	8	1	2	6	0	14	2
0.218518	DL DCI Rxed	21	8	2	2	6	0	13	2
0.218982	HARQ FD Txed	21	8	3	2	6	0	15	3
0.218982	HARQ FD Txed	21	8	3	2	6	0	14	2
0.219232	HARQ FD Txed	21	9	0	2	6	0	13	2
0.220018	DL DCI Rxed	22	0	0	2	6	0	15	5
0.222518	DL DCI Rxed	22	2	2	2	4	0	15	5
0.223982	HARQ FD Txed	22	3	3	2	4	0	15	5
0.225018	DL DCI Rxed	22	5	0	2	6	0	14	5
0.226482	HARQ FD Txed	22	6	1	2	6	0	14	5
0.227518	DL DCI Rxed	22	7	2	2	4	0	15	5
0.227768	DL DCI Rxed	22	7	3	2	4	0	14	4
0.228982	HARQ FD Txed	22	8	3	2	4	0	15	5
0.228982	HARQ FD Txed	22	8	3	2	4	0	14	4
0.230018	DL DCI Rxed	23	0	0	2	7	0	15	5
0.230268	DL DCI Rxed	23	0	1	2	7	0	14	4
0.230518	DL DCI Rxed	23	0	2	2	6	0	15	3
0.230518	DL DCI Rxed	23	0	2	2	7	0	13	3
0.230768	DL DCI Rxed	23	0	3	2	7	0	12	2
0.231018	DL DCI Rxed	23	1	0	2	7	0	11	2
0.231482	HARQ FD Txed	23	1	1	2	6	0	15	3
0.231482	HARQ FD Txed	23	1	1	2	7	0	15	5
0.231482	HARQ FD Txed	23	1	1	2	7	0	14	4
0.231482	HARQ FD Txed	23	1	1	2	7	0	13	3
0.232518	DL DCI Rxed	23	2	2	2	7	0	15	5
0.235018	DL DCI Rxed	23	5	0	2	4	0	15	5
0.235018	DL DCI Rxed	23	5	0	2	8	0	15	5
0.235268	DL DCI Rxed	23	5	1	2	8	0	14	4
0.235518	DL DCI Rxed	23	5	2	2	8	0	13	3
0.235768	DL DCI Rxed	23	5	3	2	8	0	12	2
0.236018	DL DCI Rxed	23	6	0	2	8	0	11	2
0.236482	HARQ FD Txed	23	6	1	2	4	0	15	5
0.236482	HARQ FD Txed	23	6	1	2	8	0	15	5
0.236482	HARQ FD Txed	23	6	1	2	8	0	14	4
0.236482	HARQ FD Txed	23	6	1	2	8	0	13	3
0.237518	DL DCI Rxed	23	7	2	2	6	0	15	5
0.237518	DL DCI Rxed	23	7	2	2	4	0	15	5
0.237518	DL DCI Rxed	23	7	2	2	8	0	15	5
0.237518	DL DCI Rxed	23	7	2	2	7	0	14	5
0.238982	HARQ FD Txed	23	8	3	2	6	0	15	5
0.238982	HARQ FD Txed	23	8	3	2	4	0	15	5
0.238982	HARQ FD Txed	23	8	3	2	7	0	14	5
0.240268	DL DCI Rxed	24	0	1	2	4	0	15	4
0.241482	HARQ FD Txed	24	1	1	2	4	0	15	4
0.242518	DL DCI Rxed	24	2	2	2	8	0	14	5
0.243018	DL DCI Rxed	24	3	0	2	6	0	15	3
0.243982	HARQ FD Txed	24	3	3	2	6	0	15	3
0.243982	HARQ FD Txed	24	3	3	2	8	0	14	5
0.245018	DL DCI Rxed	24	5	0	2	7	0	15	5
0.246482	HARQ FD Txed	24	6	1	2	7	0	15	5
0.247518	DL DCI Rxed	24	7	2	2	4	0	15	5
0.248982	HARQ FD Txed	24	8	3	2	4	0	15	5
0.250018	DL DCI Rxed	25	0	0	2	6	0	15	5
0.250268	DL DCI Rxed	25	0	1	2	8	0	15	4
0.251482	HARQ FD Txed	25	1	1	2	6	0	15	5
0.251482	HARQ FD Txed	25	1	1	2	8	0	15	4
