source_port	dest_port	Throughput	Delay
49153	1234	7.872800	201.197158
49154	1234	7.347947	208.073605
49155	1234	7.953547	200.991949
49156	1234	7.953547	200.757993
49157	1234	7.347947	208.241874
49158	1234	7.347947	208.593228
49159	1235	3.229867	260.932141
49160	1235	3.633600	256.375593
49161	1235	3.916213	251.784644
49162	1235	3.916213	251.833613
49163	1235	3.633600	256.078966
49164	1235	3.593227	253.759106
49165	1236	3.229867	260.932141
49166	1236	3.633600	256.375593
49167	1236	3.916213	251.784644
49168	1236	3.916213	251.833613
49169	1236	3.633600	256.078966
49170	1236	3.593227	253.759106
