Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0164821	1	0	1	-134.596
0.0164821	1	0	2	-134.433
0.0164821	1	0	3	-136.976
0.0164821	1	0	4	-113.774
0.0164821	1	0	5	-121.715
0.0164821	1	0	6	-98.2973
0.0164821	1	0	7	-112.672
0.0164821	1	0	8	-118.863
0.0164821	1	0	9	-111.914
0.0274643	1	0	5	-122.436
0.0392143	1	0	7	-112.672
0.0417143	1	0	1	-134.632
0.0439643	1	0	8	-119.69
0.0449643	1	0	3	-137.195
0.0467143	1	0	6	-98.2478
0.0472143	1	0	4	-113.013
0.0497143	1	0	9	-111.953
0.0522143	1	0	2	-135.037
0.0674643	1	0	5	-122.461
0.0792143	1	0	7	-112.672
0.0817143	1	0	1	-135.015
0.0839643	1	0	8	-119.261
0.0849643	1	0	3	-137.115
0.0867143	1	0	6	-97.9648
0.0872143	1	0	4	-112.183
0.0897143	1	0	9	-113.07
0.0922143	1	0	2	-134.456
0.107464	1	0	5	-120.702
0.119214	1	0	7	-112.672
0.121714	1	0	1	-135.091
0.123964	1	0	8	-119.686
0.124964	1	0	3	-137.772
0.126714	1	0	6	-96.7094
0.127214	1	0	4	-111.601
0.129714	1	0	9	-111.957
0.132214	1	0	2	-135.048
0.147464	1	0	5	-121.33
0.159214	1	0	7	-112.672
0.161714	1	0	1	-134.515
0.163964	1	0	8	-119.203
0.164964	1	0	3	-137.959
0.166714	1	0	6	-96.7777
0.167214	1	0	4	-111.971
0.169714	1	0	9	-112.956
0.172214	1	0	2	-134.932
0.187464	1	0	5	-121.139
0.199214	1	0	7	-112.672
0.201714	1	0	1	-134.934
0.203964	1	0	8	-119.166
0.204964	1	0	3	-137.749
0.206714	1	0	6	-96.0813
0.207214	1	0	4	-112.449
0.209714	1	0	9	-112.053
0.211482	1	0	8	-119.637
0.211482	1	0	6	-96.3505
0.212214	1	0	2	-135.275
0.213946	1	0	8	-119.593
0.214982	1	0	2	-135.288
0.21625	1	0	8	-119.706
0.216446	1	0	2	-135.206
0.216482	1	0	6	-96.2633
0.2165	1	0	8	-119.589
0.21675	1	0	8	-119.568
0.217482	1	0	3	-137.847
0.21875	1	0	8	-119.548
0.218857	1	0	3	-137.671
0.218893	1	0	2	-135.31
0.218982	1	0	4	-112.346
0.219	1	0	8	-119.457
0.219107	1	0	2	-135.347
0.219232	1	0	4	-112.28
0.21925	1	0	8	-119.484
0.219357	1	0	2	-135.248
0.219482	1	0	4	-112.269
0.2195	1	0	8	-119.592
0.219607	1	0	2	-135.194
0.21975	1	0	8	-119.528
0.219804	1	0	2	-135.243
0.22125	1	0	8	-119.816
0.221321	1	0	3	-137.806
0.221393	1	0	2	-134.855
0.221482	1	0	4	-112.299
0.2215	1	0	8	-119.774
0.221571	1	0	3	-137.817
0.221643	1	0	2	-134.748
0.22175	1	0	8	-119.819
0.221821	1	0	3	-137.71
0.221893	1	0	2	-134.688
0.222	1	0	8	-119.797
0.222071	1	0	3	-137.834
0.222143	1	0	2	-134.685
0.22225	1	0	8	-119.787
0.222321	1	0	3	-137.724
0.222393	1	0	2	-134.721
0.22375	1	0	8	-119.775
0.223821	1	0	4	-112.221
0.223857	1	0	3	-137.564
0.223929	1	0	2	-134.597
0.223982	1	0	6	-96.437
0.224	1	0	8	-119.781
0.224071	1	0	3	-137.525
0.224143	1	0	2	-134.644
0.22425	1	0	8	-119.774
0.224321	1	0	3	-137.554
0.224393	1	0	2	-134.71
0.2245	1	0	8	-119.693
0.224571	1	0	3	-137.637
0.224643	1	0	2	-134.699
0.22475	1	0	8	-119.696
0.224804	1	0	3	-137.588
0.224893	1	0	2	-134.704
0.22625	1	0	8	-119.874
0.226321	1	0	4	-112.114
0.226339	1	0	3	-137.832
0.226411	1	0	2	-134.671
0.226482	1	0	4	-112.19
0.2265	1	0	8	-119.899
0.226571	1	0	3	-137.8
0.226643	1	0	2	-134.736
0.22675	1	0	8	-119.993
0.226821	1	0	3	-137.92
0.226893	1	0	2	-134.664
0.227	1	0	8	-119.93
0.227071	1	0	3	-137.963
0.227143	1	0	2	-134.739
0.22725	1	0	8	-119.996
0.227321	1	0	3	-138.046
0.227393	1	0	2	-134.772
0.227464	1	0	5	-121.154
0.22875	1	0	8	-120.145
0.228821	1	0	3	-137.895
